    60     52     53 1.242207E-06 1.529816E-06 1.365325E-06 1.220312E-17 0.000000E+00
    61     11     39 3.558302E-06 1.894435E-06 2.685676E-06 6.273437E-17 0.000000E+00
    62      8     51 6.297287E-06 2.428889E-06 4.297967E-06 7.296875E-18 0.000000E+00
    63     15     27 3.757939E-06 4.506813E-06 4.070699E-06 1.039844E-16 0.000000E+00
    64      1     27 4.248831E-06 2.056791E-06 3.105754E-06 1.171719E-16 0.000000E+00
    65      9     14 4.225549E-06 3.887908E-06 3.996180E-06 3.584375E-17 0.000000E+00
    66     20     39 2.818546E-06 2.784419E-06 2.759669E-06 5.443750E-17 0.000000E+00
    67      8     52 4.498758E-06 2.045040E-06 3.223065E-06 1.354687E-17 0.000000E+00
    68     11     28 2.851936E-06 4.652806E-06 3.696366E-06 5.029687E-17 0.000000E+00
    69      8     20 2.818976E-06 2.708291E-06 2.722385E-06 8.460937E-17 0.000000E+00
    70     20     28 3.078182E-06 1.552530E-06 2.280799E-06 8.321875E-17 0.000000E+00
    71      1     15 3.989887E-06 4.884642E-06 4.371037E-06 1.211250E-16 0.000000E+00
    72     14     37 3.303198E-06 1.915710E-06 2.570507E-06 7.184375E-17 0.000000E+00
    73     14     33 5.943701E-06 3.326277E-06 4.565810E-06 2.004687E-17 0.000000E+00
    74     22     28 3.179221E-06 2.807439E-06 2.948653E-06 3.665625E-17 0.000000E+00
    75      1     25 3.625133E-06 2.313744E-06 2.925118E-06 2.096875E-17 0.000000E+00
    76     15     38 5.264300E-06 1.611923E-06 3.386796E-06 7.453125E-17 0.000000E+00
    77     16     37 2.775935E-06 1.339132E-06 2.026824E-06 1.996875E-17 0.000000E+00
    78     33     38 3.020363E-06 2.973931E-06 2.952413E-06 1.259375E-17 0.000000E+00
    79      0     25 2.500000E-07 1.675000E-07 3.350000E-07 2.084375E-17 0.000000E+00
    80      0     33 2.500000E-07 6.392669E-07 1.898628E-07 2.926562E-17 0.000000E+00
    81      0     16 2.500000E-07 4.204250E-07 8.207502E-08 4.420312E-17 0.000000E+00
    82      0     22 2.500000E-07 0.000000E+00 5.025000E-07 2.914062E-17 0.000000E+00
    83      0     38 2.500000E-07 1.507917E-06 6.177056E-07 5.031250E-18 0.000000E+00
    84      0      8 2.500000E-07 5.640500E-06 2.653157E-06 4.718750E-18 0.000000E+00
