    69
     1     -1     20 1.369993E-06 2.780565E-02 9.400793E-07
     2     -1     17 1.757434E-06 3.294480E-02 8.750000E-07
     3     -1      2 3.612369E-06 3.020650E-02 7.525000E-07
     4     -1     15 1.883372E-06 3.217314E-02 7.525001E-07
     5     -1      6 2.429038E-06 4.162417E-02 7.525000E-07
     6      2     28 1.000154E-06 3.134773E-02 2.034055E-05
     7     17     49 4.883615E-07 1.522923E-02 8.890600E-06
     8     15     16 7.203972E-07 2.521625E-02 9.573451E-06
     9      6     16 1.072129E-06 2.865043E-02 1.483556E-05
    10      2     31 1.082000E-06 2.585087E-02 9.510326E-06
    11     20     22 5.550115E-07 2.681906E-02 1.365374E-05
    12     28     36 9.894427E-07 2.403351E-02 4.886271E-06
    13     22     49 4.886380E-07 1.872276E-02 5.299344E-06
    14     31     35 9.379460E-07 2.826155E-02 7.609983E-06
    15     16     38 9.901036E-07 2.475685E-02 1.048478E-05
    16      7     36 9.901419E-07 2.527439E-02 9.599704E-06
    17     22     30 1.014191E-06 2.551006E-02 8.212661E-06
    18     34     35 9.901036E-07 2.554849E-02 6.743978E-06
    19     29     34 1.241541E-06 3.130914E-02 5.668012E-06
    20     27     38 8.498220E-07 2.582772E-02 9.643031E-06
    21      7     44 4.968382E-07 2.277062E-02 8.253611E-06
    22      7     25 8.308356E-07 2.282483E-02 9.786278E-06
    23     18     30 4.845422E-07 1.837007E-02 1.093340E-05
    24      1     29 1.287655E-06 3.263859E-02 8.009980E-06
    25      4     27 1.287624E-06 3.324818E-02 7.727036E-06
    26     18     44 5.949980E-07 2.411092E-02 8.111613E-06
    27      1     25 1.132167E-06 3.558496E-02 1.207991E-05
    28     18     46 5.157151E-07 2.208856E-02 1.005435E-05
    29     18     23 5.125507E-07 1.536398E-02 1.030209E-05
    30      1      3 1.264155E-06 3.022214E-02 2.001387E-05
    31      1      8 7.913525E-07 2.991539E-02 1.155159E-05
    32      4     11 8.232565E-07 2.912837E-02 1.549155E-05
    33      3     46 5.291005E-07 2.921442E-02 1.208673E-05
    34      8     11 5.637130E-07 2.305089E-02 1.327696E-05
    35     23     50 5.636355E-07 2.569630E-02 6.929815E-06
    36     23     41 7.619076E-07 3.308310E-02 7.342806E-06
    37      3     43 1.393144E-06 1.982283E-02 6.590977E-06
    38      5      8 5.564417E-07 2.006201E-02 7.081569E-06
    39     37     41 6.966414E-07 2.636349E-02 7.683070E-06
    40     42     43 5.716735E-07 2.473703E-02 4.997681E-06
    41     11     47 4.316738E-07 1.217644E-02 6.196014E-06
    42     39     50 4.897285E-07 1.984501E-02 5.333507E-06
    43      5     48 4.887033E-07 4.052350E-02 6.806256E-06
    44      5     45 4.307223E-07 3.757703E-02 5.949129E-06
    45      3     53 5.975685E-07 2.389092E-02 9.568644E-06
    46     45     48 5.447550E-07 2.323874E-02 2.410854E-06
    47     12     47 4.024457E-07 1.506629E-02 6.500541E-06
    48     51     53 4.471787E-07 1.471874E-02 5.173330E-06
    49      5     32 9.876249E-07 2.953649E-02 8.875798E-06
    50     12     48 4.950027E-07 2.154790E-02 5.954649E-06
    51     26     39 4.835795E-07 2.130561E-02 1.034526E-05
    52      3     33 9.888785E-07 2.651504E-02 1.413871E-05
    53     21     37 9.402790E-07 3.178775E-02 1.524976E-05
    54     12     24 1.276378E-06 3.408560E-02 5.757740E-06
    55     51     52 4.883626E-07 1.589997E-02 5.864725E-06
    56     32     40 8.734046E-07 2.354826E-02 5.219640E-06
    57     12     13 4.535714E-07 2.507976E-02 1.011415E-05
    58     14     33 8.939620E-07 2.742550E-02 9.418356E-06
    59     21     26 7.007564E-07 2.320619E-02 5.616882E-06
    60      9     40 7.194604E-07 2.222734E-02 7.854578E-06
    61     19     52 4.916853E-07 2.390141E-02 6.544769E-06
    62     10     24 1.241064E-06 2.972578E-02 7.148429E-06
    63      0     21 1.960607E-06 3.534693E-02 1.090851E-06
    64      0     19 1.565022E-06 3.170607E-02 8.680251E-07
    65      0     14 1.802520E-06 3.465685E-02 7.525000E-07
    66      0      9 2.156375E-06 3.924011E-02 7.525000E-07
    67      0     13 1.918875E-06 3.609883E-02 9.774355E-07
    68      0     10 2.156375E-06 4.217644E-02 7.525000E-07
    69      5     42 7.376250E-07 2.666622E-02 1.175152E-05
